	lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
93	slim	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
94	slim	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
95	slim	английский	ткань	textile	толстые / тонкие слои	размер		d	-
96	slim	английский	книга	book	толстые / тонкие слои	размер		d	-
97	slim	английский	стена	wall	толстые / тонкие слои	размер		d	-
248	spacious	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
249	spacious	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
250	spacious	английский	ткань	textile	толстые / тонкие слои	размер		d	-
251	spacious	английский	книга	book	толстые / тонкие слои	размер		d	-
252	spacious	английский	стена	wall	толстые / тонкие слои	размер		d	-
186	wide	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
187	wide	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
188	wide	английский	ткань	textile	толстые / тонкие слои	размер		d	-
189	wide	английский	книга	book	толстые / тонкие слои	размер		d	-
190	wide	английский	стена	wall	толстые / тонкие слои	размер		d	-
9	thick	английский	веревка	rope	толстые / тонкие стержни	размер		d	+
10	thick	английский	волосы	hair	толстые / тонкие стержни	размер		d	+
11	thick	английский	дудка	pipe	толстые / тонкие стержни	размер		d	+
40	thin	английский	веревка	rope	толстые / тонкие стержни	размер		d	+
41	thin	английский	волосы	hair	толстые / тонкие стержни	размер		d	+
42	thin	английский	дудка	pipe	толстые / тонкие стержни	размер		d	+
129	broad	английский	столб	pole	толстые / тонкие стержни	размер		d	-
130	broad	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
131	broad	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
132	broad	английский	палка	stick	толстые / тонкие стержни	размер		d	-
133	broad	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
134	broad	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
135	broad	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
67	fat	английский	столб	pole	толстые / тонкие стержни	размер		d	-
68	fat	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
69	fat	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
70	fat	английский	палка	stick	толстые / тонкие стержни	размер		d	-
